date,description,amount
2026-05-01,Payroll Deposit,3200.00
2026-05-03,Netflix Subscription,-15.99
2026-05-05,Spotify Subscription,-10.99
2026-05-15,Gym Membership,-44.00
2026-05-21,Random Bookstore,-28.50
2026-06-01,Payroll Deposit,3200.00
2026-06-03,Netflix Subscription,-15.99
2026-06-05,Spotify Subscription,-10.99
2026-06-15,Gym Membership,-44.00
2026-06-22,Hardware Store,-63.45
2026-07-01,Payroll Deposit,3200.00
2026-07-03,Netflix Subscription,-15.99
2026-07-05,Spotify Subscription,-10.99
2026-07-15,Gym Membership,-46.00
2026-07-20,Random Shop,-20.00
