date,description,amount
2026-07-01,Payroll Deposit,3200.00
2026-07-01,Apartment Rent,-1450.00
2026-07-02,Trader Joes,-86.42
2026-07-03,Metro Transit Pass,-72.00
2026-07-05,Blue Bottle Coffee,-6.75
2026-07-06,Netflix,-15.49
2026-07-07,Chevron Fuel,-48.12
2026-07-08,Whole Foods Market,-112.37
2026-07-09,Amazon Marketplace,-65.20
2026-07-10,Chipotle,-14.88
2026-07-11,CVS Pharmacy,-24.31
2026-07-14,Electric Utility,-94.63
2026-07-15,Payroll Deposit,3200.00
2026-07-16,Safeway,-73.18
2026-07-18,Uber Trip,-22.40
2026-07-20,Target,-58.77
2026-07-22,DoorDash,-37.94
2026-07-24,Spotify,-10.99
2026-07-28,Whole Foods Market,-95.13
2026-07-29,One-Time Electronics Store,-899.00
2026-08-01,Payroll Deposit,3200.00
2026-08-01,Apartment Rent,-1450.00
2026-08-03,Trader Joes,-91.26
2026-08-04,Metro Transit Pass,-72.00
2026-08-05,Local Cafe,-8.25
2026-08-06,Netflix,-15.49
2026-08-07,Chevron Fuel,-52.88
2026-08-08,Whole Foods Market,-103.44
2026-08-10,Chipotle,-16.12
2026-08-12,CVS Pharmacy,-18.90
2026-08-14,Electric Utility,-101.74
2026-08-15,Payroll Deposit,3200.00
2026-08-16,Safeway,-69.41
2026-08-18,Uber Trip,-19.85
2026-08-20,Target,-46.39
2026-08-22,DoorDash,-31.67
2026-08-24,Spotify,-10.99
